system,method,run_id,variant,iteration,qps,latency,throughput,cost,fidelity,prepare_time,run_time,clean_time,config_json
tomcat,flash,3301,single,1,2311.05,22.37,2311.05,10.02843427658081,"[8, 50, 10, False]",0.0,10.027640104293823,0.0,"{""acceptCount"": ""343"", ""allowBackslash"": ""TRUE"", ""compression"": ""off"", ""compressionMinSize"": ""6410"", ""connectionTimeout"": ""76849"", ""connectionUploadTimeout"": ""18100"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""301677"", ""keepAliveTimeout"": ""478953"", ""maxConnections"": ""11041"", ""maxHeaderCount"": ""234"", ""maxHttpHeaderSize"": ""60388"", ""maxHttpRequestHeaderSize"": ""32421"", ""maxHttpResponseHeaderSize"": ""43639"", ""maxKeepAliveRequests"": ""3176"", ""maxParameterCount"": ""82454"", ""maxSwallowSize"": ""12197550"", ""maxThreads"": ""135"", ""minSpareThreads"": ""415"", ""processorCache"": ""87"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""557839"", ""throughput__2"": ""2311.05"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,2,2157.56,23.16,2157.56,10.024036407470703,"[8, 50, 10, False]",0.0,10.023959875106812,0.0,"{""acceptCount"": ""738"", ""allowBackslash"": ""FALSE"", ""compression"": ""off"", ""compressionMinSize"": ""7927"", ""connectionTimeout"": ""186215"", ""connectionUploadTimeout"": ""397980"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""455363"", ""keepAliveTimeout"": ""161229"", ""maxConnections"": ""7648"", ""maxHeaderCount"": ""21"", ""maxHttpHeaderSize"": ""65510"", ""maxHttpRequestHeaderSize"": ""32937"", ""maxHttpResponseHeaderSize"": ""63692"", ""maxKeepAliveRequests"": ""4395"", ""maxParameterCount"": ""1430"", ""maxSwallowSize"": ""4520707"", ""maxThreads"": ""392"", ""minSpareThreads"": ""262"", ""processorCache"": ""322"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""4"", ""threadsMaxIdleTime"": ""369148"", ""throughput__2"": ""2157.56"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,3,2122.02,24.52,2122.02,10.024548768997192,"[8, 50, 10, False]",0.0,10.02445936203003,0.0,"{""acceptCount"": ""65"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""1455"", ""connectionTimeout"": ""86931"", ""connectionUploadTimeout"": ""78053"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""365289"", ""keepAliveTimeout"": ""454242"", ""maxConnections"": ""16723"", ""maxHeaderCount"": ""768"", ""maxHttpHeaderSize"": ""42079"", ""maxHttpRequestHeaderSize"": ""28060"", ""maxHttpResponseHeaderSize"": ""535"", ""maxKeepAliveRequests"": ""71"", ""maxParameterCount"": ""42365"", ""maxSwallowSize"": ""8809380"", ""maxThreads"": ""56"", ""minSpareThreads"": ""575"", ""processorCache"": ""316"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""1"", ""threadsMaxIdleTime"": ""351095"", ""throughput__2"": ""2122.02"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,4,2242.25,22.59,2242.25,10.025367975234985,"[8, 50, 10, False]",0.0,10.025281429290771,0.0,"{""acceptCount"": ""66"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""3850"", ""connectionTimeout"": ""82182"", ""connectionUploadTimeout"": ""564647"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""174904"", ""keepAliveTimeout"": ""59934"", ""maxConnections"": ""4719"", ""maxHeaderCount"": ""129"", ""maxHttpHeaderSize"": ""2071"", ""maxHttpRequestHeaderSize"": ""42397"", ""maxHttpResponseHeaderSize"": ""42198"", ""maxKeepAliveRequests"": ""4250"", ""maxParameterCount"": ""86074"", ""maxSwallowSize"": ""9770877"", ""maxThreads"": ""84"", ""minSpareThreads"": ""547"", ""processorCache"": ""214"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""354129"", ""throughput__2"": ""2242.25"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,5,2231.12,22.92,2231.12,10.027566909790039,"[8, 50, 10, False]",0.0,10.027480125427246,0.0,"{""acceptCount"": ""760"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""338"", ""connectionTimeout"": ""366517"", ""connectionUploadTimeout"": ""450848"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""235829"", ""keepAliveTimeout"": ""471568"", ""maxConnections"": ""4457"", ""maxHeaderCount"": ""512"", ""maxHttpHeaderSize"": ""53090"", ""maxHttpRequestHeaderSize"": ""39132"", ""maxHttpResponseHeaderSize"": ""25825"", ""maxKeepAliveRequests"": ""3696"", ""maxParameterCount"": ""68465"", ""maxSwallowSize"": ""10900368"", ""maxThreads"": ""222"", ""minSpareThreads"": ""107"", ""processorCache"": ""31"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""6"", ""threadsMaxIdleTime"": ""571953"", ""throughput__2"": ""2231.12"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,6,2206.14,23.47,2206.14,10.024207592010498,"[8, 50, 10, False]",0.0,10.024125337600708,0.0,"{""acceptCount"": ""953"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""3331"", ""connectionTimeout"": ""337700"", ""connectionUploadTimeout"": ""525861"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""332428"", ""keepAliveTimeout"": ""277398"", ""maxConnections"": ""16591"", ""maxHeaderCount"": ""274"", ""maxHttpHeaderSize"": ""59064"", ""maxHttpRequestHeaderSize"": ""37879"", ""maxHttpResponseHeaderSize"": ""22799"", ""maxKeepAliveRequests"": ""3262"", ""maxParameterCount"": ""66308"", ""maxSwallowSize"": ""6694086"", ""maxThreads"": ""48"", ""minSpareThreads"": ""578"", ""processorCache"": ""139"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""4"", ""threadsMaxIdleTime"": ""242145"", ""throughput__2"": ""2206.14"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,7,2364.41,27.42,2364.41,10.034910440444946,"[8, 50, 10, False]",0.0,10.03482460975647,0.0,"{""acceptCount"": ""952"", ""allowBackslash"": ""TRUE"", ""compression"": ""on"", ""compressionMinSize"": ""7930"", ""connectionTimeout"": ""516199"", ""connectionUploadTimeout"": ""510733"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""128257"", ""keepAliveTimeout"": ""417705"", ""maxConnections"": ""17505"", ""maxHeaderCount"": ""650"", ""maxHttpHeaderSize"": ""6000"", ""maxHttpRequestHeaderSize"": ""22869"", ""maxHttpResponseHeaderSize"": ""36853"", ""maxKeepAliveRequests"": ""232"", ""maxParameterCount"": ""29479"", ""maxSwallowSize"": ""16819411"", ""maxThreads"": ""276"", ""minSpareThreads"": ""6"", ""processorCache"": ""68"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""10"", ""threadsMaxIdleTime"": ""518494"", ""throughput__2"": ""2364.41"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,flash,3301,single,8,2180.7,23.12,2180.7,10.031229734420776,"[8, 50, 10, False]",0.0,10.031118392944336,0.0,"{""acceptCount"": ""981"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""5877"", ""connectionTimeout"": ""227114"", ""connectionUploadTimeout"": ""190452"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""72518"", ""keepAliveTimeout"": ""470858"", ""maxConnections"": ""13788"", ""maxHeaderCount"": ""876"", ""maxHttpHeaderSize"": ""45815"", ""maxHttpRequestHeaderSize"": ""3948"", ""maxHttpResponseHeaderSize"": ""24147"", ""maxKeepAliveRequests"": ""2811"", ""maxParameterCount"": ""54459"", ""maxSwallowSize"": ""12594154"", ""maxThreads"": ""236"", ""minSpareThreads"": ""572"", ""processorCache"": ""185"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""3"", ""threadsMaxIdleTime"": ""394688"", ""throughput__2"": ""2180.7"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""TRUE""}"
tomcat,flash,3301,single,9,2446.81,24.58,2446.81,10.034282207489014,"[8, 50, 10, False]",0.0,10.034199237823486,0.0,"{""acceptCount"": ""840"", ""allowBackslash"": ""TRUE"", ""compression"": ""force"", ""compressionMinSize"": ""900"", ""connectionTimeout"": ""399071"", ""connectionUploadTimeout"": ""314014"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""260480"", ""keepAliveTimeout"": ""54109"", ""maxConnections"": ""19840"", ""maxHeaderCount"": ""272"", ""maxHttpHeaderSize"": ""60915"", ""maxHttpRequestHeaderSize"": ""19904"", ""maxHttpResponseHeaderSize"": ""8528"", ""maxKeepAliveRequests"": ""4801"", ""maxParameterCount"": ""75273"", ""maxSwallowSize"": ""10894959"", ""maxThreads"": ""136"", ""minSpareThreads"": ""861"", ""processorCache"": ""257"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""8"", ""threadsMaxIdleTime"": ""460557"", ""throughput__2"": ""2446.81"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,flash,3301,single,10,2323.56,24.82,2323.56,10.036617279052734,"[8, 50, 10, False]",0.0,10.036533832550049,0.0,"{""acceptCount"": ""928"", ""allowBackslash"": ""FALSE"", ""compression"": ""force"", ""compressionMinSize"": ""800"", ""connectionTimeout"": ""191055"", ""connectionUploadTimeout"": ""521574"", ""disableUploadTimeout"": ""FALSE"", ""executorTerminationTimeoutMillis"": ""33715"", ""keepAliveTimeout"": ""129329"", ""maxConnections"": ""9012"", ""maxHeaderCount"": ""144"", ""maxHttpHeaderSize"": ""62691"", ""maxHttpRequestHeaderSize"": ""45762"", ""maxHttpResponseHeaderSize"": ""30362"", ""maxKeepAliveRequests"": ""164"", ""maxParameterCount"": ""70237"", ""maxSwallowSize"": ""1434788"", ""maxThreads"": ""257"", ""minSpareThreads"": ""333"", ""processorCache"": ""294"", ""tcpNoDelay"": ""TRUE"", ""threadPriority"": ""9"", ""threadsMaxIdleTime"": ""387743"", ""throughput__2"": ""2323.56"", ""useAsyncIO"": ""TRUE"", ""useVirtualThreads"": ""FALSE""}"
tomcat,flash,3301,single,11,2334.62,25.14,2334.62,10.025660753250122,"[8, 50, 10, False]",0.0,10.025566577911377,0.0,"{""acceptCount"": ""969"", ""allowBackslash"": ""FALSE"", ""compression"": ""off"", ""compressionMinSize"": ""9505"", ""connectionTimeout"": ""14613"", ""connectionUploadTimeout"": ""66678"", ""disableUploadTimeout"": ""TRUE"", ""executorTerminationTimeoutMillis"": ""172773"", ""keepAliveTimeout"": ""336196"", ""maxConnections"": ""9461"", ""maxHeaderCount"": ""44"", ""maxHttpHeaderSize"": ""30881"", ""maxHttpRequestHeaderSize"": ""33549"", ""maxHttpResponseHeaderSize"": ""59467"", ""maxKeepAliveRequests"": ""3167"", ""maxParameterCount"": ""22122"", ""maxSwallowSize"": ""13960545"", ""maxThreads"": ""308"", ""minSpareThreads"": ""621"", ""processorCache"": ""396"", ""tcpNoDelay"": ""FALSE"", ""threadPriority"": ""7"", ""threadsMaxIdleTime"": ""13600"", ""throughput__2"": ""2334.62"", ""useAsyncIO"": ""FALSE"", ""useVirtualThreads"": ""FALSE""}"
